Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 COENTRO,0.0,0.0,0.0,-9.700000000000001,0.0,0.0,0.0,0.0,-2.1899999999999995,0.0,0.0,0.0,0.0,-6.32
 COUVE,-3.04,0.0,-5.46,0.0,-11.540000000000001,12.23,0.0,0.0,0.0,-7.73,-2.1100000000000003,-2.5,0.0,-6.77
 COUVE-FLOR,-2.08,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.489999999999998,0.0,0.5100000000000002
 REPOLHO,2.3899999999999997,-1.75,-6.269999999999999,5.68,1.6,7.0,6.21,0.0,3.0,1.6799999999999997,-2.3499999999999996,16.19,4.149999999999999,1.08
 CHEIRO-VERDE,1.7200000000000002,0.0,0.0,0.0,-12.48,7.78,-4.77,-0.030000000000000165,-4.46,0.0,0.0,-0.15000000000000036,-17.05,-4.7299999999999995
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.92,-3.92
 BRÓCOLIS,1.76,-19.060000000000002,-7.18,0.0,-3.1800000000000006,5.079999999999999,0.0,0.0,0.0,-11.370000000000001,0.0,0.0,0.0,-5.52
 FRUTAS,-2.4200000000000004,-2.7399999999999998,-2.43,-8.58,-2.3200000000000003,-3.9800000000000004,-3.25,-7.619999999999999,-3.4000000000000004,0.5899999999999999,-5.87,-0.2799999999999998,1.8099999999999998,-3.1799999999999997
 BANANA-DA-TERRA,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,2.9699999999999998,0.0,0.0,-8.75,0.0,1.35
 ABACAXI,-11.620000000000001,1.7399999999999993,-2.41,4.779999999999999,-1.2,0.0,0.0,0.0,0.0,-2.83,-4.41,0.0,-6.109999999999999,-2.0400000000000005
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,10.95
 BANANA-D'AGUA,-4.23,-7.359999999999999,0.0,0.0,-8.229999999999999,-4.690000000000001,0.0,0.0,0.0,-3.9700000000000006,0.0,0.0,-1.1499999999999997,-7.2700000000000005
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,-5.63,4.3100000000000005
 BANANA-PRATA,-4.53,-2.2399999999999998,-2.0300000000000002,-19.13,-4.91,-6.359999999999999,-9.49,-10.18,-1.2800000000000002,-3.9499999999999997,-6.300000000000001,-0.050000000000000266,0.0,-6.4399999999999995
 LARANJA-BAIA,0.0,-13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.7
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,44.81,0.0,0.0,0.0,0.0,0.0,0.0,44.81
 MAÇÃ,1.1999999999999997,1.9699999999999998,1.5499999999999994,5.53,-0.6699999999999998,-10.76,1.5799999999999998,1.83,-0.3799999999999999,11.459999999999999,-3.3500000000000005,0.8000000000000003,9.75,1.14
 MAMÃO,9.980000000000002,15.42,21.11,2.5999999999999996,-2.95,9.470000000000002,9.190000000000001,-2.9,0.9899999999999984,31.880000000000003,0.0,4.989999999999999,17.389999999999997,6.84
 MANGA,-9.490000000000002,0.0,0.0,-18.22,0.0,-1.3699999999999992,0.0,0.0,0.0,0.0,0.0,-5.08,0.0,-11.130000000000003
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.350000000000001,13.799999999999999,0.0,0.0,0.0,0.0,6.380000000000003
 MELANCIA,0.0,0.0,14.08,-2.8000000000000003,8.499999999999998,0.6299999999999999,-6.129999999999999,-2.7499999999999996,6.670000000000001,16.52,-1.549999999999999,0.0,17.759999999999998,5.38
 PÊRA,3.44,0.0,0.0,0.0,13.18,2.45,0.0,0.0,0.0,0.0,-2.6500000000000004,0.9199999999999999,0.0,8.32
 TANGERINA,0.0,-2.7399999999999998,0.0,0.0,-2.3200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.2799999999999998,0.0,-2.6699999999999995
 UVA,-0.009999999999999787,0.0,-5.5,3.0699999999999994,9.51,-6.07,-1.9000000000000004,-8.100000000000001,-12.200000000000001,-3.8200000000000003,-24.049999999999997,-2.34,3.290000000000001,0.6599999999999995
 LARANJA-PÊRA,-4.67,0.0,-9.780000000000001,-21.409999999999997,-10.66,-4.3100000000000005,-5.709999999999999,-10.92,-15.17,-10.440000000000001,-10.370000000000001,5.9399999999999995,-13.120000000000001,-10.55
 MORANGO,0.0,-35.67,-37.3,0.0,0.0,0.0,0.0,0.0,0.0,-35.07,0.0,0.0,0.0,-36.28
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.41,0.0,0.0,0.0,0.0,0.0,-9.41
 CARNES,-2.97,-2.02,-2.9,1.51,-1.1300000000000001,-2.2399999999999998,-1.13,-0.029999999999999805,-0.88,-3.04,-0.9899999999999998,-3.3699999999999997,-0.26000000000000023,-1.56
 FÍGADO,0.0,0.0,0.0,1.2800000000000002,0.0,0.0,0.36999999999999994,-2.1499999999999995,-3.2,0.0,0.0,0.0,0.0,-0.8600000000000001
 CARNE DE PORCO,1.3199999999999998,-0.040000000000000036,-0.9500000000000001,-1.1900000000000004,-2.2399999999999998,-6.1899999999999995,-0.009999999999999898,1.61,0.010000000000000675,-3.73,-3.48,-0.21000000000000008,-1.4700000000000002,-1.3800000000000001
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640000000000001,-1.0100000000000002,0.0,0.0,0.0,0.0,1.6400000000000001
 CONTRAFILÉ,-4.34,2.7700000000000005,-2.62,1.4799999999999995,0.7399999999999999,-5.68,-3.4499999999999993,1.9300000000000002,-3.4000000000000004,3.6399999999999997,-0.5099999999999998,-8.629999999999999,1.4,-0.7300000000000002
 FILÉ-MIGNON,-2.45,0.0,0.0,14.579999999999998,0.0,0.0,-5.98,0.0,-1.52,-1.3599999999999999,1.59,0.0,1.06,-0.5700000000000001
 CHÃ DE DENTRO,-1.0999999999999996,-4.76,-2.0600000000000005,1.3699999999999997,-0.2799999999999998,-5.8,-1.8399999999999999,-0.9799999999999998,-0.7000000000000001,-0.6999999999999998,-0.3899999999999997,-1.8899999999999997,1.4899999999999993,-1.0899999999999999
 ALCATRA,-4.31,-4.530000000000001,-5.79,2.8800000000000003,-1.2900000000000003,-5.09,-6.32,-0.29000000000000004,-3.08,-4.96,-1.0699999999999998,-3.53,2.520000000000001,-3.53
 PATINHO,-1.6800000000000002,-3.14,-3.2800000000000002,-4.289999999999999,-1.98,1.1,-2.48,-1.85,-0.44999999999999996,-4.53,-0.7100000000000002,-3.1799999999999997,-1.9000000000000004,-2.23
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-2.87,0.0,0.42999999999999994,0.0,0.0,0.0,0.0,-1.8299999999999998
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.1700000000000004,0.9099999999999999,0.0,-0.8,-2.46,0.0,-0.06999999999999995,0.0,3.13,-0.7799999999999998
 MÚSCULO,-1.2599999999999998,-7.25,-2.52,-0.07000000000000028,-0.7,0.0,3.47,0.0,-1.8599999999999999,0.8000000000000003,-0.03000000000000025,2.2600000000000002,-0.8500000000000001,-1.54
 PÁ,0.0,-2.12,0.0,2.3599999999999994,2.48,-1.3900000000000001,2.3200000000000003,0.0,-2.9899999999999998,-1.83,0.0,0.0,-2.83,0.030000000000000138
