Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 PRODUTOS FARMACÊUTICOS E ÓTICOS,1.2100000000000002,0.31999999999999995,-0.37,0.6900000000000001,1.08,0.37,0.71,0.69,-0.31,5.26,0.38,-0.6399999999999999,0.6899999999999998,0.99
 PRODUTOS FARMACÊUTICOS,1.4200000000000002,0.36,-0.43000000000000005,0.73,1.26,0.25,0.88,1.23,-0.42,5.54,0.41000000000000003,-0.51,0.5699999999999998,1.1099999999999999
 ANTI-INFECCIOSO E ANTIBIÓTICO,1.12,-2.28,0.47999999999999965,3.86,3.93,0.56,0.61,-0.9199999999999999,0.9800000000000002,4.53,1.7,0.36,1.4500000000000002,1.8099999999999998
 ANALGÉSICO E ANTITÉRMICO,1.44,0.96,-0.5699999999999998,1.25,0.8099999999999999,0.75,1.25,1.79,0.79,7.1899999999999995,0.9099999999999999,-1.0100000000000002,1.22,1.38
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.029999999999999916,-1.1800000000000002,-3.5999999999999996,-1.9900000000000002,3.3099999999999996,0.15999999999999992,1.25,1.57,-0.33999999999999997,3.52,-1.3599999999999999,0.29000000000000004,0.4600000000000004,0.9500000000000001
 ANTIGRIPAL E ANTITUSSÍGENO,3.23,0.78,1.61,-0.8499999999999999,1.87,-1.3,2.9,-0.7800000000000002,-3.47,4.859999999999999,0.26,-1.92,3.79,1.33
 DERMATOLÓGICO,0.8299999999999998,-0.8400000000000001,-1.2199999999999998,0.6599999999999999,2.17,0.0,0.13,2.03,-1.06,5.59,-0.27,-1.4100000000000001,1.1000000000000003,0.8200000000000001
 ANTIALÉRGICO E  BRONCODILATADOR,1.54,1.58,1.1300000000000001,0.35,0.88,0.41000000000000003,-0.8099999999999999,0.9000000000000001,0.6400000000000001,6.31,-0.6199999999999999,-0.99,-0.31999999999999984,1.17
 GASTROPROTETOR,3.01,0.81,0.91,-0.13000000000000012,0.37,0.85,2.4,1.66,0.7,10.45,1.7200000000000002,1.17,-1.0,1.7399999999999998
 VITAMINA E FORTIFICANTE,0.6299999999999997,1.65,0.49,2.06,3.56,0.32,0.21000000000000002,1.04,3.58,7.05,0.59,-1.2200000000000002,1.06,2.46
