Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 LEITE CONDENSADO,-0.72,2.7399999999999998,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000001,0.0,0.0,1.95
 LEITE EM PÓ,-1.2000000000000002,0.0,0.27,-0.5900000000000001,-1.41,0.0,0.37,0.42000000000000004,0.7600000000000002,0.5099999999999998,-2.1799999999999997,0.36,-1.65,-0.39,-0.13,-0.6600000000000001,-0.26
 QUEIJO,-0.10000000000000003,-1.59,1.37,-4.18,1.7199999999999998,0.24,0.24,2.99,0.27,0.010000000000000009,0.73,-0.6800000000000002,-1.14,-2.02,0.020000000000000018,-3.99,0.32999999999999996
 IOGURTE E BEBIDAS LÁCTEAS,0.93,-4.58,0.7799999999999999,-2.15,1.2,1.64,2.37,1.29,2.6,-0.13,-0.10000000000000009,-1.24,2.07,-0.26,1.5499999999999998,-1.27,0.2
 REQUEIJÃO,-1.1199999999999999,0.0,-0.08000000000000002,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
 MANTEIGA,4.2,0.0,1.36,2.36,0.0,0.46,1.81,1.76,0.9,0.0,0.8099999999999999,2.5,0.0,0.77,0.0,0.18999999999999995,1.7
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002
 PANIFICADOS,-0.65,1.8399999999999999,0.8400000000000001,0.22000000000000003,-0.24,-0.14999999999999997,0.7400000000000001,1.06,-0.08999999999999997,-0.68,0.8500000000000001,0.26,1.25,0.10000000000000009,1.28,-1.79,0.21000000000000002
 BISCOITO,-2.39,0.15999999999999998,0.84,1.63,0.30000000000000004,0.8500000000000001,-2.96,0.29999999999999993,0.48,-2.37,0.5,-1.25,2.76,0.38,-0.75,-1.98,-0.19
 PÃO FRANCÊS,0.39,1.63,0.9600000000000001,-0.78,-0.5999999999999999,0.18,2.65,1.2,-0.89,-1.8699999999999997,1.5,1.5,0.30000000000000004,0.040000000000000036,2.08,-1.87,0.22000000000000003
